keyword,202303,tot_cnt
lithuania,1,1
exports,4,4
recession,13,13
liberalisation,1,1
prices,4,4
sector,17,17
pension,3,3
decline,6,6
rating,1,1
biotechnology,1,1
taiwanese,1,1
employers,1,1
possibility,5,5
news,5,5
energy,12,12
preemptive,1,1
issuer,1,1
leitner,1,1
domestic,6,6
rebound,4,4
population,8,8
platforms,3,3
startup,2,2
worst,3,3
wiiw,1,1
indirect,2,2
officea,1,1
tight,1,1
decouple,1,1
paywall,1,1
half,4,4
sebastian,2,2
forceclose,1,1
measures,8,8
pool,1,1
lithuanias economy,1,1
rating fitch,1,1
septemberdriven energy,1,1
gdp,10,10
electricity,4,4
forecast,5,5
crisis,1,1
treasury,3,3
stagnation,2,2
industrial,1,1
imf,4,4
eskom,1,1
fund,3,3
increase,8,8
shortterm,6,6
international,6,6
cost,16,16
cuts,5,5
january,4,4
generate,3,3
social,4,4
aware,1,1
outlook,24,24
real,8,8
announced,1,1
quarter,8,8
contract,1,1
slow,1,1
significant,12,12
hours,2,2
plants,1,1
wednesday,11,11
central,9,9
africas electricity,1,1
growth forecast,1,1
shortterm outlook,2,2
browser,6,6
javascript,6,6
cookies,6,6
service,7,7
supports,6,6
review,7,7
policy,10,10
terms,10,10
information,10,10
happen,6,6
sure,12,12
supports javascript,6,6
loading information,6,6
did happen,6,6
review terms,6,6
disclaimer,3,3
media,2,2
article,8,8
responsible,2,2
affiliates,2,2
guarantee,3,3
content,2,2
external,5,5
publishers,2,2
edited,2,2
way,2,2
text,2,2
read,4,4
website,2,2
accuracy,2,2
opinions,2,2
control,3,3
entities,4,4
applications,2,2
views,3,3
body,2,2
party,2,2
available,3,3
basis,10,10
disclaimer policy,2,2
website external,2,2
applications media,2,2
views opinions,2,2
circular,7,7
businesses,4,4
lifecycle,1,1
renewable,2,2
emissions,3,3
growth,9,9
processes,1,1
chain,4,4
abominable,1,1
crumbles,1,1
viability,2,2
earth,1,1
risk,9,9
flourish,2,2
systemic,5,5
principles,1,1
healthy,1,1
