keyword,202303,tot_cnt
banking,118,118
ecb,7,7
liquidity,66,66
framework,29,29
reforms,19,19
crisis,39,39
stability,71,71
tier,5,5
capital,89,89
swiss,20,20
resilient,22,22
structure,2,2
shareholders,6,6
board,20,20
supervision,3,3
component,12,12
resolution,13,13
comprehensive,13,13
union,10,10
guide,2,2
important,10,10
particular,10,10
cases,9,9
instruments,24,24
single,12,12
absorb,2,2
actions,4,4
losses,22,22
order,5,5
common,19,19
use,11,11
ones,9,9
additional,13,13
yesterday,8,8
crisis interventions,1,1
resolution framework,1,1
stability board,1,1
climateresilient,3,3
ipccs,2,2
emissions,31,31
pandemic,73,73
warns,2,2
temperature,5,5
sectors,96,96
private,36,36
limit,43,43
breakthroughs,3,3
deadlines,1,1
changemakers,3,3
paris,3,3
commits,4,4
equitable,5,5
read,29,29
increment,1,1
credibility,4,4
reside,1,1
isnt,15,15
longterm,76,76
soil,3,3
guterres,3,3
define,10,10
quantum,6,6
integrate,14,14
climate policy,1,1
ipccs report,1,1
taxonomy private,1,1
capture dac,1,1
climate,38,38
pollution,6,6
intergovernmental,4,4
energy,37,37
ipcc,3,3
washington,4,4
resources,13,13
nrdc,1,1
fossil,1,1
debt,20,20
ceo,45,45
clear,10,10
experts,13,13
decades,18,18
efforts,11,11
standards,43,43
statement,25,25
law,10,10
message,5,5
assesses,1,1
harm,1,1
unassailable,1,1
frontlines,1,1
manish,2,2
confront,1,1
robust,40,40
panel,16,16
drive,11,11
mobilize,2,2
didnt,16,16
lowincome,4,4
bapna,1,1
half,21,21
monday,36,36
climate crisis,1,1
change ipcc,2,2
widening scourge,1,1
better way,1,1
policymakers,21,21
mitigation,3,3
financing,15,15
carbon,5,5
regulators,44,44
global,105,105
cooperation,8,8
goals,10,10
growth,52,52
frameworks,12,12
enablers,1,1
significant,64,64
informing,1,1
cut,4,4
measures,49,49
critical,25,25
fourth,4,4
underpin,5,5
vehicles,7,7
personalize,1,1
pool,11,11
sources,17,17
subscriber,3,3
deployment,15,15
manyfold,1,1
christopher,2,2
climate finance,1,1
action ipccs,1,1
levels avoid,1,1
body represents,1,1
economic,25,25
international,28,28
world,27,27
article,47,47
analyses,4,4
commons,4,4
free,5,5
forum,11,11
account,10,10
terms,71,71
public,48,48
accordance,3,3
create,33,33
publications,4,4
views,36,36
content,30,30
license,5,5
creative,4,4
access,57,57
latest,42,42
collection,4,4
author,6,6
world economic,3,3
free account,3,3
publications analyses,3,3
sabry,1,1
lived,1,1
funding,11,11
unpopular,1,1
interview,13,13
difficult,3,3
need,13,13
sabry said,1,1
measures unpopular,1,1
lived means,1,1
taken mr,1,1
suisses,7,7
shareholder,1,1
ubsgch,2,2
cnbcs,7,7
discount,5,5
largest,79,79
saw,8,8
impact,54,54
ag,3,3
abdullah,1,1
ammar,1,1
multibilliondollar,3,3
reasons,14,14
wednesday,45,45
kellersutter,3,3
silicon,162,162
start,29,29
rout,4,4
reappraise,1,1
scramble,2,2
solution,3,3
reassure,7,7
unwarranted,1,1
statutory,4,4
fallout,6,6
navigate,12,12
signage,2,2
credit suisse,5,5
ubs group,1,1
billion saudi,1,1
stock price,1,1
failed stem,1,1
garcía,2,2
economists,11,11
treasury,28,28
bankid,1,1
bubble,10,10
innovative,37,37
coffers,2,2
field,12,12
today,41,41
avellán,1,1
domestic,28,28
rajosik,1,1
uae,5,5
diligence,7,7
fmi,1,1
branches,10,10
repo,3,3
crash,5,5
era,4,4
unlock,3,3
tonnes,4,4
ions,1,1
domains,4,4
migration,4,4
ukrainians,1,1
platforms,25,25
banking awards,1,1
housing market,1,1
gather data,1,1
pathbreaking work,1,1
securities,21,21
reserves,33,33
suisse,97,97
korean,8,8
credit,41,41
worth,37,37
index,82,82
ubs,43,43
sank,4,4
yield,29,29
unlikely,15,15
slim,2,2
gainers,2,2
biggest,38,38
percent,28,28
federal,72,72
yonhap,7,7
benchmark,43,43
return,21,21
assess,15,15
eyes,8,8
celltrion,2,2
signboards,1,1
drastic,3,3
ratesetting,1,1
volatility,39,39
issues,17,17
basis,112,112
biologics,2,2
carmakers,2,2
sunday,21,21
path,13,13
korean stocks,4,4
bond fell,2,2
return benchmark,1,1
banks,102,102
doddfrank,10,10
bailinable,1,1
systemic,30,30
meltdown,14,14
risks,85,85
shares,44,44
signature,63,63
uninsured,9,9
valley,82,82
oversight,5,5
prophecies,1,1
indications,7,7
skittish,3,3
iris,2,2
proliferation,2,2
talk,12,12
asiapacific,8,8
hand,6,6
perceptions,2,2
thorsten,1,1
mscis,2,2
republicans,4,4
resistance,7,7
weather,20,20
wont,16,16
bank svb,5,5
switzerlands biggest,1,1
collapse silicon,29,29
unfortunately exacerbate,1,1
inflation,98,98
feds,39,39
banker,5,5
futures,26,26
pace,34,34
march,88,88
sector,150,150
policymaker,1,1
resurgence,3,3
reserve,27,27
stress,24,24
suggest,7,7
bonds,75,75
drop,7,7
aggressive,7,7
pause,6,6
worse,12,12
cracks,4,4
central,49,49
routine,3,3
changes,11,11
transitory,1,1
theres,40,40
usb,2,2
meet,22,22
creates,7,7
continue aggressive,1,1
requesting loans,1,1
whats central,1,1
drying silicon,1,1
investments,25,25
multinational,7,7
macroeconomic,14,14
cpis,2,2
imf,16,16
geopolitical,22,22
shocks,11,11
chinese,17,17
policies,13,13
competitiveness,9,9
united,19,19
aversion,2,2
rate,62,62
crossborder,8,8
volatile,23,23
benefits,60,60
export,23,23
issuers,9,9
experienced,2,2
nonresident,8,8
decline,14,14
sharp,7,7
help,7,7
positions,10,10
available,40,40
chart,17,17
biannual,4,4
function,9,9
distribution,13,13
week,29,29
httpdata,1,1
country investments,1,1
tend volatile,1,1
function provide,1,1
recession,84,84
consumption,16,16
equilibrium,3,3
analogy,2,2
resilience,25,25
dissipate,1,1
surrealist,1,1
expansionary,1,1
interventionism,1,1
treachery,1,1
workers,6,6
ukraine,11,11
coma,1,1
expectations,25,25
diagnostic,4,4
englishlanguage,5,5
magritte,1,1
newsletter,15,15
bottlenecks,4,4
data,43,43
best,11,11
tune,5,5
combination,3,3
rene,1,1
caps,3,3
hysteresis,1,1
premature,6,6
constellation,1,1
sensitivity,2,2
país,1,1
hikes,58,58
collapse economic,1,1
2020 spanish,1,1
difficulties seasonal,1,1
magritte appropriate,1,1
rates saw,1,1
venture,39,39
braxton,2,2
longerterm,3,3
risk,57,57
cofounder,22,22
portfolio,31,31
startups,31,31
getty,15,15
case,26,26
withdrawal,9,9
liepins,1,1
expenses,7,7
retirees,4,4
certified,2,2
lesson,5,5
sixmonth,4,4
collapse,57,57
shouldnt,10,10
lazetta,1,1
thumb,1,1
santa,4,4
major,51,51
planner,5,5
people,27,27
valley bank,5,5
startups svb,1,1
cover clients,1,1
hsbcs,1,1
bailouts,7,7
diversify,9,9
leverage,14,14
startup,32,32
capitalists,6,6
borders,5,5
small,11,11
stake,14,14
lucky,4,4
dip,6,6
regulator,16,16
protect,9,9
review,64,64
accessible,6,6
statements,12,12
leave,2,2
uncertainty,31,31
try,20,20
times,34,34
postbrexit,2,2
ratio,21,21
relationships,7,7
doesnt,25,25
business banking,1,1
svbs collapse,4,4
buy swiss,1,1
gauge risk,1,1
postbrexit ensure,1,1
secret,1,1
shady,2,2
neutrality,4,4
hilton,1,1
story,47,47
james,4,4
transactions,14,14
shadily,1,1
washingtons,1,1
flip,1,1
harold,1,1
troubles,2,2
weekend,13,13
tax,44,44
consultant,4,4
susceptible,1,1
pressure,16,16
safe,19,19
couple,30,30
sheet,13,13
hinges,2,2
bigger,5,5
ask,5,5
view,31,31
swiss bankings,1,1
word secret,1,1
independent consultant,1,1
watches,5,5
brands,7,7
piguet,2,2
jewelry,3,3
exchanges,10,10
audemars,2,2
millennial,4,4
centuriesold,1,1
bcg,3,3
stateoftheart,5,5
chrono24,1,1
reputable,1,1
covid19,14,14
moser,1,1
preowned,1,1
average,122,122
smart,6,6
advent,3,3
symbol,6,6
theyre,21,21
todays,15,15
wrong,11,11
slowdown,22,22
furniture,2,2
patek,1,1
handful,8,8
information,85,85
enhances,1,1
fetch,3,3
authentication,4,4
luxury watches,1,1
bcg estimates,1,1
nsebank,1,1
gupta,2,2
insolvencies,1,1
reuters,78,78
rupees,6,6
shaktikanta,2,2
moodys,5,5
advances,4,4
turbulence,19,19
heldtomaturity,6,6
comfortable,3,3
assure,2,2
yesb,1,1
tests,5,5
pressures,32,32
anil,3,3
norms,8,8
fsr,2,2
risen,3,3
nonperforming,2,2
mark,19,19
cogroup,1,1
pcr,2,2
indian banks,2,2
reuters turbulence,1,1
showing resilience,1,1
performing pressures,1,1
premium,31,31
subscription,25,25
trial,20,20
digital,92,92
cost,97,97
savings,39,39
premier,23,23
plan,35,35
month,32,32
downgrade,22,22
opt,21,21
settings,21,21
standard,33,33
cancel,20,20
lex,20,20
reporting,28,28
business,43,43
retain,21,21
section,26,26
journalistic,20,20
offering,26,26
click,32,32
comparison,22,22
packages,20,20
themes,21,21
expert,29,29
column,29,29
original,20,20
fulfils,20,20
digital premium,20,20
trial trial,20,20
change plan,20,20
retain access,20,20
news analysis,20,20
fintechs,1,1
ecommerce,12,12
providers,13,13
vodacom,1,1
upstarts,1,1
deposits,22,22
affordable,6,6
costperservice,1,1
equity,41,41
mpesa,1,1
b2b2c,2,2
term,17,17
trust,45,45
enable,32,32
conducive,7,7
expand,16,16
tcvp,1,1
juma,1,1
different,28,28
adaverseemurgo,1,1
prominent,4,4
markers,1,1
segments,10,10
flywheel,1,1
onepipe,2,2
malpractice,2,2
lack,32,32
maplerad,1,1
tcvp credable,1,1
improve livelihoods,1,1
embed enable,1,1
freeport,3,3
maritime,3,3
thames,2,2
logistics,9,9
opportunities,16,16
renewable,14,14
rates,93,93
investment,108,108
unlocking,1,1
lowcarbon,8,8
dagenham,1,1
regions,7,7
shift,4,4
throughput,2,2
hubs,3,3
biomanufacturing,1,1
simplified,1,1
agenda,8,8
storage,12,12
millions,13,13
davison,1,1
highquality,26,26
generate,15,15
green,49,49
dehenna,1,1
january,16,16
robin,2,2
cromarty,1,1
thames freeport,1,1
jobs investment,2,2
vehicles renewable,1,1
customs procedure,1,1
levellingup agenda,1,1
bundesbank,1,1
core,17,17
quarters,4,4
european,13,13
persistent,5,5
slow,8,8
falls,5,5
negative,14,14
current,42,42
runaway,2,2
underlying,3,3
thomson,25,25
balazs,2,2
food,5,5
shrink,3,3
developments,40,40
target,33,33
recover,4,4
figures,5,5
macswan,2,2
excludes,3,3
angus,2,2
inflation germany,1,1
slow sharply,1,1
march 20,2,2
excludes volatile,1,1
starting recover,1,1
stocks,55,55
cyclicals,1,1
yields,20,20
sachs,16,16
modernization,2,2
depositors,9,9
concern,7,7
bulls,4,4
friday,32,32
flow,6,6
focus,30,30
shields,1,1
primary,18,18
dispersion,1,1
ease,17,17
orourke,1,1
dont,37,37
immediate,7,7
rest,7,7
faith,6,6
evaporates,1,1
shop,8,8
schizophrenic,1,1
pedal,1,1
insure,2,2
expedient,1,1
hike,24,24
technology energy,1,1
shields told,1,1
involves debating,1,1
gear cost,1,1
browser,53,53
javascript,56,56
cookies,57,57
service,64,64
supports,55,55
policy,88,88
happen,52,52
sure,86,86
supports javascript,51,51
loading information,51,51
did happen,51,51
review terms,51,51
veto,5,5
biden,15,15
retirement,14,14
joe,19,19
republican,1,1
manchin,2,2
plans,13,13
sens,4,4
capitol,3,3
savers,6,6
months,51,51
taoiseach,1,1
leo,2,2
maine,3,3
luncheon,1,1
radical,2,2
fiduciaries,2,2
measure,11,11
factors,35,35
middleclass,1,1
twothirds,8,8
department,10,10
weigh,7,7
biden veto,2,2
retirement plans,1,1
weigh environmental,1,1
srinagar,1,1
rajesh,1,1
emaar,1,1
dubai,5,5
muslimmajority,3,3
development,24,24
tourists,2,2
mall,1,1
insurgency,1,1
modis,2,2
infused,1,1
sovereign,5,5
du,1,1
attracted,1,1
manoj,2,2
split,6,6
builder,1,1
communications,6,6
reorganisation,1,1
flooding,1,1
aspire,4,4
denies,1,1
tallest,1,1
srinagar emaar,1,1
foreign investment,1,1
mall multipurpose,1,1
pakistan denies,1,1
ghana,5,5
loan,16,16
accra,2,2
economies,3,3
bondholders,6,6
approval,8,8
negotiate,3,3
ministry,20,20
cordial,1,1
cedi,1,1
ghanian,1,1
treatment,5,5
rosario,1,1
meetings,3,3
source,38,38
restructured,1,1
defaulting,1,1
oforiatta,1,1
fruitful,2,2
bilateral,7,7
ken,1,1
peyton,2,2
ghanas debt,1,1
secure imf,1,1
treatment operations,1,1
wednesday meet,1,1
oil,12,12
jitters,11,11
analysts,17,17
prices,34,34
gains,23,23
brent,8,8
bunker,2,2
barrel,4,4
overall,12,12
news,35,35
texas,3,3
risky,5,5
rampant,4,4
fundamentals,15,15
flynn,1,1
lukewarm,3,3
accelerate,23,23
traffic,4,4
persist,6,6
assessment,11,11
outlook,85,85
pentup,3,3
periods,19,19
banking jitters,2,2
security,17,17
trustworthiness,1,1
cyberattacks,2,2
industries,5,5
regulations,23,23
emails,5,5
employee,6,6
invoice,2,2
jewels,1,1
swift,13,13
unique,9,9
continuity,6,6
team,3,3
popular,6,6
daily,15,15
greenlee,1,1
bulk,6,6
nature,11,11
