keyword,202303,tot_cnt
pharmaceuticalsup,1,1
delhi,3,3
sensex,3,3
index,101,101
shares,11,11
pfizerdown,2,2
cent,6,6
negative,7,7
vodafone,1,1
bimetal,1,1
benchmark,8,8
bank,10,10
zydus,1,1
shivalik,1,1
granules,2,2
jewellers,1,1
orientalaromatics,1,1
glenmark,2,2
fresh,2,2
gainers,3,3
highs,3,3
suzlon,1,1
technologies,1,1
note,3,3
yes,1,1
idea,2,2
torrent,2,2
tuesday,13,13
energy,8,8
red,2,2
hand,2,2
people,1,1
pack,1,1
stocks nifty,2,2
pharma index,2,2
cent biocondown,1,1
suzlon energy,1,1
recession,8,8
confidence,5,5
march,14,14
silicon,5,5
sixmonthahead,1,1
rates,21,21
consumers,5,5
shortages,1,1
slight,1,1
pandemic,5,5
weeks,3,3
cutoff,2,2
federal,14,14
situation,2,2
indexes,6,6
valley,1,1
maintenance,1,1
headwinds,2,2
gauges,1,1
largest,11,11
michigans,1,1
plentiful,3,3
boards,1,1
signals,3,3
director,5,5
refinitiv,1,1
chris,2,2
ozyildirim,3,3
categories,3,3
banking panic,1,1
confidence index,2,2
minneapolis cnn,1,1
months remain,1,1
fxstreet,1,1
investment,6,6
risks,3,3
losses,4,4
errors,1,1
informational,1,1
article,4,4
advisors,4,4
policy,3,3
compensation,1,1
guarantee,1,1
omissions,1,1
company,1,1
suitability,1,1
injuries,1,1
statements,1,1
accuracy,2,2
purposes,1,1
official,2,2
pages,1,1
portion,2,2
profiled,1,1
contains,1,1
opinions,1,1
relationship,1,1
representations,1,1
reflect,2,2
instruments,2,2
article fxstreet,1,1
sell assets,1,1
liable errors,1,1
display use,1,1
pessimistic,3,3
expect,2,2
average,42,42
incomes,1,1
prospects,2,2
percent,8,8
taxexempt,1,1
york,2,2
assessment,3,3
care,1,1
amusement,1,1
prnewswire,4,4
conferenceboard,1,1
new,8,8
nonpartisan,1,1
senior,4,4
outlook,8,8
shortterm,3,3
orgdataconsumerdata,1,1
balance,3,3
upbeat,1,1
reveal,1,1
httpswww,2,2
consumer confidence,2,2
recession year,1,1
taxexempt status,1,1
york march,1,1
dow,4,4
indexdjx,1,1
dji,1,1
jones,6,6
banking,3,3
prices,13,13
lows,2,2
fomc,1,1
concerns,2,2
points,7,7
recent,5,5
catch22,1,1
hike,1,1
bond,2,2
ease,1,1
chart,6,6
bounces,1,1
lies,1,1
time,2,2
rejection,1,1
basis,17,17
constant,1,1
tagging,1,1
ma,1,1
bigger,1,1
global,8,8
green,2,2
bulls,2,2
session,17,17
dow jones,2,2
pause rate,1,1
ease tagging,1,1
reclaim rejection,1,1
notifications,2,2
post,1,1
allow,2,2
notifications article,1,1
allow notifications,1,1
click allow,1,1
panamaxes,1,1
cargoes,1,1
commodities,1,1
baltic,1,1
shipbroker,1,1
vessels,1,1
imports,1,1
decreased,1,1
bulkers,1,1
reuters,17,17
coal,2,2
price,2,2
earnings,3,3
futures,9,9
benchmarks,2,2
rebound,1,1
shanghai,2,2
overall,4,4
factors,4,4
biggest,5,5
worries,1,1
dry,2,2
source,4,4
segments,1,1
threat,1,1
utilized,1,1
curveball,1,1
producer,2,2
development,3,3
panamax index,1,1
demand baltic,1,1
등록수의,1,1
전년도와,1,1
종로구42개소,1,1
서울시에서,1,1
증가폭은,1,1
변동을,1,1
현황에,1,1
자치구별,1,1
대비해,1,1
올해,1,1
이어가다,1,1
매년,1,1
수의,1,1
폭의,1,1
기준,1,1
보유,1,1
처음으로,1,1
다음,1,1
호텔,1,1
자료에,1,1
종로구42개소 4107실,1,1
washington,2,2
seasonal,1,1
mortgage,3,3
inflationreduction,1,1
miami,1,1
data,5,5
gains,5,5
fewer,2,2
craig,2,2
adjustment,1,1
highest,5,5
creep,1,1
economist,2,2
terms,5,5
flat,3,3
risk,7,7
swells,1,1
spike,1,1
jeff,1,1
commercial,3,3
functions,1,1
doldrums,1,1
spectrum,5,5
lazzara,2,2
home prices,1,1
yearoveryear gains,1,1
news month,1,1
index covering,1,1
spxbk,1,1
fed,1,1
jitters,4,4
sector,16,16
sentiment,6,6
jpm,1,1
boost,1,1
monday,3,3
street,2,2
broader,6,6
way,5,5
flowed,1,1
unchanged,1,1
strength,3,3
email,5,5
increment,2,2
contagion,1,1
whatsapp,3,3
index spxbk,1,1
government debt,1,1
resumed week,1,1
increment mpr,1,1
chatbots,1,1
opensourced,1,1
tool,1,1
duckduckgo,1,1
apps,3,3
gpt4,2,2
queries,1,1
openais,2,2
algorithm,2,2
privacy,1,1
licensee,1,1
extension,1,1
bloomberg,3,3
free,1,1
similar,3,3
feed,1,1
billions,2,2
models,2,2
tree,1,1
sptag,1,1
partition,1,1
vectors,1,1
space,1,1
limitations,1,1
enforce,1,1
person,3,3
conventional,2,2
neevas,1,1
rivals,1,1
milliseconds,1,1
opensourced algorithm,1,1
intelligence deep,1,1
results saving,1,1
trading,2,2
lower,2,2
positions,3,3
longerterm,1,1
candlestick,1,1
highfrequency,1,1
break,3,3
ceiling,1,1
comfortable,1,1
likely,9,9
starts,1,1
uncertainty,4,4
significant,4,4
navigate,1,1
ema,4,4
cfd,1,1
amounts,1,1
signal,1,1
sense,2,2
turbulence,3,3
resistance,4,4
impulsive,1,1
republics,1,1
ready,2,2
fomo,1,1
winners,1,1
position quickly,1,1
candlestick signal,1,1
environment shortterm,1,1
patents,1,1
biotechnology,1,1
digital,3,3
battery,1,1
application,1,1
semiconductors,2,2
increase,7,7
efficiency,2,2
initiative,1,1
medical,1,1
huawei,1,1
audiovisual,1,1
universities,1,1
numbers,1,1
covid19impacted,1,1
belgium,1,1
public,3,3
filing,2,2
decline,5,5
today,3,3
boom,1,1
base,4,4
drivers,3,3
underlines,1,1
debate,1,1
capita,1,1
asian,4,4
celebrates,2,2
sailing,1,1
epo patent,1,1
audiovisual technology,1,1
field energy,1,1
shenzhen,2,2
