,title,review,star
0,[해뜨온] 수제꿀맛 고구마 말랭이 3종80g(10/15/20개),"['맛있어요. 촉촉하고 다른 제품에 비해 약간 비싼거 같지만 내용이 튼실하네요.', '생각보다 덜 다네요.. 아이가 별로라구해요ㅜㅜ', '식감도 우수하고,\n자연적인 단맛이 맘에 듭니다.\n건강간식으로\n아이들이 과자보다 좋아 합니다.\n\n좋은 제품 감사히 먹었습니다.', '아주 맛있고 상태도 좋았어요', '적당히 달콤하고 말랑하고 쫀득하고 촉촉하고 부드러워요.\n색이 당근처럼 찐한 주황색이예요.\n맛있어요~ 한 봉지 양은 많지 않아서 순삭했네요.', '아이들 간식으로 좋아요', '완전 좋아요. 간식으로 두고 먹으려고 샀는데 한 번까면 멈출수 없는 맛이예요. 아이들한테도 첨가물 걱정없이 먹여도 되니까 너무 좋아요. 특히 채소 안좋아하는 아이들이라 변비로 늘 고생이었는데 챙겨먹인 후로는 잘 하고 있는거 같네요.', '요거맛나요!', '간식으로 최고', '맛있고 가성비 훌륭합니다~']",9.0
1,영암 꿀고구마 유기농 꿀단지 고구마 특/상,['비닐에 싸여서 왔고 안에 충격완화를 위한 완충재가 따로 있었어요. 근데 고구마 상태가 전에 주문했을땐 전부 괜찮았는데 이번엔 완전 물러서 집을때 귤 집는것 같이 물컹한 고구마가 두개 정도 있었어요. 맛은 좋습니다. 크기도 한두개 먹으면 배부를만큼 크고 실했는데 좀 아쉽네요.'],10.0
2,해남 세척 꿀밤 고구마 중사이즈 3kg,"['고구마는 맛은 있는데\n상태는 최근에 산 고구마 중에 최악입니다.\n중간 중간 잘려 온 고구마.\n어디 끝만 남은 고구마.\n좀더 품질에 신경을 써주셨으면 좋았겠네요', '달고 맛있게 먹었어요.....\n재주문', '너무 맛있어요! 까만 진이 나온게 많지 않은데, 다 달아요. 진 없는것도 달아요. 생각보다 작아서 당황했는데 , 한번에 네개씩 먹습니다.', '1/10에 받았는데 상태 좋고 너무 맛있었어요. 다만 중사이즈라 그런지 크기는 작네요. 군고구마 해먹은 사진입니다ㅎㅎ', '고구마 썩은게 너무 많고\n베니하루카가 아니고 일반 고구마에요\n하 ...\n진짜']",8.0
3,팜앤피아 유기농 세척 꿀 고구마 2kg 4kg 7kg,"['넘 맛있어서 금방 다 먹고 또 사러 왔어요\n집에 놀러온 지인도 넘 맛있다해서 한박스 선물도 보냈어요~\n받고나서 만 하루정도 널어서 말리고 신문지로 하나씩 싸서 보관했어요\n에어프라이기 25분+뒤집어서 25분 돌리니 껍질도 잘 까지고 꿀맛이에요 ㅎㅎ', '냉해서 왔어요. 속상해요.', '탁구장 난로에 구워서 맛있게 잘 먹고 있습니다.\n너무 맛있어요.', '너무 깨끗하고 맛있어서 재구매합니다\n이번에도 맛있는걸로 부탁드려요\n번창하세욧!', '맛이 있어서 이 고구마로만 주문하고 있는 중인데 지난번 주문에는 사이즈나 품질면에서 두가지 종류를 섞어서 보내셨더라고요.\n실망입니다.', '포장상태 아주 좋아요. 세척도 잘되어있구요. 무엇보다 에어프라이어에 구웟는데 정말 맛있어요. 도착후 바로 먹음. 재구매할께요^^', '세번째 주문입니다\n맛은 당도가 높고 당연 최고입니다.\n스티로폼에 봉지로 포장되어 오는데\n두번다 스티로폼이 뜯어져 내용물이 나올까봐 택배기사님이 임시방편으로 박스테이프로 붙여서 배송해주셨네요\n스티로폼이 약한것도 문제고\n기사님의 배송시 부주의 하신것도 문제가 있다고 판단되네요\n세번째는 정상적으로 받길 원합닏ㄱㆍ', '진짜 맛있는 고구마에요! 심지도 거의없고 쪄서먹기만하는데도 정말 맛있어요. 한번시켜먹고 정말 만족해서 세번째 시킵니다:)', '고구마가 아주 당도가 높아요', '기대했던 당도와 맛입니다.\n부드러워서 좋아요']",8.0
4,꿀밤 고구마 호박고구마 2kg 3kg 5kg,"['상품좋고 맛있어서 재주문합니다.', '얼었다 녹았는지 겉에 껍질쪽 고구마가 시퍼럼..먹기 싫음', '이게 긴사중인가요?\n갓난쟁이 주먹만한게 긴상중?\n그럼 내손바닥만한건. 뭐라고 표현 할 수 있을까?\n기막혀서 뭐라 할 말도 없네요.\n어쩌다 제게만 한 실수 아니면 정직하다 믿었던 농부의\n사기인가?', '생각보다 크기가 좀 큰데 맛이 정말 맛있어요.^^', '생각보다 많이 작긴 하네요~ 깔끔한 걸로 잘왔어요', '고구마를 가끔 주문해서 먹는데요.\n이런 상태의 품질은 처음 봅니다.\n애초에 상품선별의 문제인지, 배송 중의 문제인지\n다른 구매자들을 위한 빠른 조치가 필요할 듯합니다.']",6.0
5,국산 세척 꿀 고구마 베니하루카 3kg 5kg,"['진짜루 손가락 만해요 한두개면 어느정도는 이해하겠지만 대부분이 다그래요 사진에는 종이컵보다 크게 찍어놓고는 대부분은 종이컵의 반만해요 사기당한듯', '손가락만해요. 너무 작고 못먹는 것도 있고..', '이번이 2번째 구매입니다.\n저번에는 3개 정도 썩어있었고 중간 중간 검은색도 있긴 했지만 군고구마로 만들어 보니 너무 맛있고 달달해서 재주문 했습니다.\n\n그런데 이번에 온 고구마는 같은 곳에서 생산한게 맞나? 싶을 정도로 너무 맛이 없어요... 저번 고구마는 구웠을 때 사진처럼 촉촉하게 나와서 설탕보다 더 달달한게 진짜 맛있었는데 이번거는 똑같이 구웠을때 촉촉한거는 하나도 없고 퍽퍽하고 그렇다고 맛도 하나도 안달아요...\n맛없는 밤 구운 맛이랄까....\n\n맛이 너무 없어서 어떻게 처리해야 되나 고민되네요...\n저번 3kg은 맛있어서 진짜 후딱 먹었는데....\n솔직히 반품하고 싶은데 배송비 생각하면 그냥 그려러니 하고 넘어갑니다... 근데 상품의 편차가 너무 심하니까 재주문은 이제 고민되네요...\n\n진짜 이번에 주문한거는 너무 너~~~어~~무!! 실망입니다.', '우연히 농협상품권이 생겨 농협몰 가입하고 고민하다가 농협이라는 브랜드에 대한 믿음이 있으니 처음이지만 괜찮겠지 생각하며 주문 했는데 2~3개 정도는 썩는중으로 반은 잘라버려야했음 호박고구만에 비해 맛은 덜했으나 그래도 많이 퍽퍽하지 않고 맛있었음', '추운날 따뜻하고 달달한 고구마 주문해드렸어요~\n주문전까지 후기가 한개밖에 없어서 고민했는데\n완전 성공했어요\n상품 받으시고 상한게 한개있어서 맛만 보신다고 드셨는데\n꿀이 뚝뚝 떨어진다고 너무 좋아하시네요~^^', '고구마가 엄청 잘생긴것들로 포장 완전 정렬해서 보내주셨어요!!\n엄마아빠가 고구마가 어떻게 이렇게 다 예쁘냐고 엄청 비싼데서 시켰냐구 좋아하셨어요 ㅎㅎ맛도 맛있구요!! 완전 만족합니다\n좋은 상품 보내주셔서 감사해요^^']",6.0
6,달콤 가득 해남 고구마 말랭이 5봉 10봉,[],0.0
7,[해뜨온] 거산 꿀고구마(10kg),"['시간이 갈수록 완전 꿀에요', '와, 정말 맛있네요. 최근 먹은 고구마 중 최고입니다.', '깨끗이 세척, 당도 높음.', '배송상태도 좋았고 구매후 바로 튀김해서 먹었는데 정말 달고 맛있었습니다. 보관방법도 나와있어서 잘말려서 보관하며 먹고 있습니다. 다먹으면 또 구매하려고요.\n왕으로 주문했는데 정말 크더라고요 맛있게 잘먹겠습니다.\n품질 배송 포장상태 모두 만족합니다.', '선물 보내드렸는데 좋다고 맛있다고 하십니다', '해뜨온 고구마는 언제나 달고 맛있어요.못난이어도 전혀 못난이 아닙니다', '맛있어요 또 주문할께요~', '진정한 밤고구마 입니다 너무 맛있어요', '가격도 저렴하고 맛도 항상 만족 스럽고 믿고 주문할수 있어서 좋아요.', '자주 사는데 이번 것은 영하10도 정도 떨어질때라 물기가 없도록 나흘간 펼쳐 말렸는데 구우면 껍질 안쪽으로 전체적으로 검은 건 약간 얼었던것 같네요 겨울철 배송에 좀더 신경 써주세요 날짜가 많이 지나 반품도 못하고 추울 땐 포장 강화 필요...']",9.0
8,[해뜨온] 거산 자색고구마(5kg),"['재구매해서 잘 먹고 있어요 .\n처음 것 보다는 자색이 진하지 않아요', '예전에 청도 자색고구마를 사서 먹었는데 처음엔 너무 맛이 없어 그냥 뒀다가 나중에 쪘더니 너무 달고 색깔도 정말 진해서 안토시아닌도 풍부하고 맛있게 먹은 기억이 있어요. 그후로 자색고구마 구입은 계속 실패 했는데 이번 것은 청도거랑 같아 보이네요. 후숙이 덜 돼서 달지는 않지만 건강을 생각해서 고구마를 드신다면 강추합니다.\n크기는 왕으로 했어요.']",9.0
9,[해뜨온] 거산 꿀고구마(5kg),"['크기도 적당하고 당도도 높고 대만족입니다', '거산 고구마 최고입니다.\n또 주문할께요.', '맛도 품질도 최고 입니다.', '달고 가격대비 좋은 상품 좋았습니다', '후기보고도 주문했는데,\n정말..못난이가 아니네요\n\n고구마 너무좋구요~\n밤고구마라 너무 맛있음..\n진짜 꿀맛이라..블로그에 올려야겠어요ㅎㅎ\n가격도좋고..\n적립금있어서 더저렴하게 샀는데\n넘좋으네요~~마니파세요', '재주문했어요 역시 맛좋고 만족합니다', '너무 맛있고 좋아요~', '못난이고구마로 주문했으나 맛도좋고 상품도만족합니다', '한박스 금새 다 먹고 또 주문하러 왔습니다\n온 식구가 맛있다고 칭찬하는 ㅋㅋ. 맛좋은 고구마\n크기 모양 신선도. 맛. 모두 매우매우 만족!!', '고구마 너무 사랑해서 이것저것 다 시켜먹어봤는데 너무 맛있네요\n한입크기 시켰는데 잘못왔나 싶을만큼 사이즈도 좋네요^^\n단골예약입니다 추가 주문 또 할게요:)']",8.0
